DEPARTMENT,COURSE,COURSE DESCRIPTION,INSTRUCTOR NAME,GPA GRADES,TOTAL GRADES,AVG SECT GPA,AVG STDNT CUM GPA,A%,B%,C%,D%,W
AAAD,100,AF AM DANCE COMPNY FOUNDATIONS,"Rosa,Iris",9,10,4,3.26,100,0,0,0,0
AAAD,110,AF AM CHORAL ENSEMBL FOUNDATNS,"Wise,Raymond",14,18,3.693,3.274,71.4,28.6,0,0,0
AAAD,112,BLACK MUSIC OF TWO WORLDS,"Burnim,Mellonee Victoria",16,25,2.413,2.751,0,56.3,25,18.8,6
AAAD,113,ATKINS LLC FOUNDATIONAL COURSE,"Khan-Thomas,Zeba Yvonne",26,26,3.954,2.8,100,0,0,0,0
AAAD,150,SURV CULTR OF BLACK AMERICANS,"McElroy,Frederick L.",132,162,2.833,2.884,34.1,39.4,12.9,5.3,9
AAAD,154,HISTORY OF RACE IN AMERICAS,"Mahady,Anne E.",18,23,3.267,2.744,61.1,11.1,27.8,0,1
AAAD,210,BLACK WOMEN IN THE DIASPORA,"Smith,Candis D",29,36,3.231,2.956,44.8,44.8,3.4,3.4,4
AAAD,263,CONTEMP SOC ISS-AFR AMER COMM,"Hamilton Abegunde,Maria Eliza",9,19,3.478,2.68,55.6,33.3,11.1,0,2
AAAD,264,HIST SPORT&AFRO-AMERICAN EXPER,"Sailes,Gary A.",97,109,3.168,2.74,45.4,38.1,8.2,7.2,5
AAAD,295,SURVEY OF HIP HOP,"Orejuela,Fernando",83,99,3.096,3.047,31.3,49.4,16.9,2.4,6
AAAD,337,SOUL REVUE ADV STU PRACT,"Taliefero,Crystal Louise",10,12,4,2.98,100,0,0,0,2
AAAD,355,AFRICAN-AMERICAN HISTORY I,"Grim,Valerie",36,56,2.767,2.763,22.2,50,22.2,0,10
AAAD,379,EARLY BLACK AMERICAN WRITING,"McElroy,Frederick L.",33,39,3.479,2.997,45.5,51.5,3,0,3
AAAD,387,BLACK MIGRATION,"Smith,Candis D",9,13,2.867,2.61,33.3,33.3,33.3,0,2
AAAD,427,CROSS-CULTURAL COMMUNICATION,"Calloway-Thomas,Carolyn",6,10,2.983,2.986,0,83.3,16.7,0,1
AAAD,500,INTR AFRC AM&AFRC DIASP PART I,"Grim,Valerie",8,9,3.538,3.622,50,50,0,0,1
AAAD,579,EARLY BLACK AMERICAN WRITING,"McElroy,Frederick L.",7,8,4,3.882,100,0,0,0,0
AAAD,692,WR & LIT IN AFRC AM&AFRC DIASP,"Wester,Maisha",7,7,3.586,3.839,71.4,28.6,0,0,0
AADM,500,TOPICS IN ARTS ADMINISTRATION,"Pantaloni III,Nazareth",25,26,3.856,3.717,88,12,0,0,0
AADM,502,INTRO ARTS ADMIN & ORG BEHVIOR,"Wilkerson,Michael Neil",32,35,4,3.739,100,0,0,0,1
AADM,511,PERFORMING ARTS CENTER MGMT,"Booher,Douglas D",33,35,3.864,3.711,90.9,9.1,0,0,1
AADM,515,FINANCIAL MANAGEMENT FOR ARTS,"Gahl-Mills,Karen",30,33,3.633,3.725,70,23.3,6.7,0,0
AADM,525,MUSEUM MANAGEMENT,"Lewis,Frank",28,31,3.846,3.728,85.7,14.3,0,0,1
AADM,530,AUDIENCE DEV & MRKTG THE ARTS,"Lewis,Frank",7,8,3.914,3.764,100,0,0,0,0
AADM,535,ARTS ADMIN & CULTURAL SECTOR,"Owens,Joshua Devin",30,31,3.707,3.716,76.7,23.3,0,0,1
AADM,650,SEMINAR IN ARTS ADMINISTRATION,"Wilkerson,Michael Neil",21,24,3.895,3.701,95.2,4.8,0,0,0
AAST,101,INTR TO ASIAN AMERICAN STUDIES,"Martinez,Elizabeth",18,22,3.033,2.991,33.3,44.4,11.1,11.1,0
AAST,200,ASIAN AMERICAN LITERATURE,"Kwong,Lisa",36,45,3.7,3.189,83.3,13.9,0,0,2
ABEH,401,TOPICS IN ANIMAL BEHAVIOR,"Smith,Adam Ray",14,17,2.857,2.871,42.9,21.4,21.4,7.1,1
ABEH,502,RSCH/PROF ETH IN BIO-BEH SCI,"Ketterson,Ellen D.",7,8,4,3.898,100,0,0,0,0
AERO,101,INTRO TO THE AIR FORCE TODAY,"Frierson,Roy",16,20,3.525,3.227,68.8,25,0,6.3,1
AERO,201,EVOLUTION USAF AIR & SPACE PWR,"Frierson,Roy",7,7,3.914,3.179,100,0,0,0,0
AERO,301,AIR FORCE LEADERSHIP STUDIES,"Schimp,Dustin Tyler",6,6,3.783,3.296,83.3,16.7,0,0,0
AERO,401,NATL SEC AFFRS/PREP ACTV DUTY,"Heil,Matthew S.",11,11,3.391,3.451,36.4,63.6,0,0,0
AFRI,100,TOPICS IN AFRI SOCIETY&CULTURE,"Dlamini,Betty Sibongile",41,51,3.82,2.856,87.8,12.2,0,0,1
AFRI,231,AFRICAN CIVILIZATION,"Hanson,John Henry",26,27,3.142,2.843,19.2,76.9,3.8,0,1
AFRI,232,CONTEMPORARY AFRICA,"Bentil-Mawusi,Nana Aba",24,34,3.013,2.847,50,25,12.5,0,6
AFRI,400,TOPICS IN AFRICAN STUDIES,"Grosz-Ngate',Maria",11,16,3.027,2.731,9.1,81.8,9.1,0,0
AMID,381,TOPIC ISSUES IN COLLBRTV DSGN,"Newman,Marleen",16,16,3.294,3.171,56.3,31.3,6.3,0,0
AMID,168,BEGIN INT ARCH DES STUDIO,"Racek,Jonathan",35,48,3.391,3.066,68.6,14.3,11.4,0,2
AMID,191,DESIGN STUDIES:FORM & FUNCTION,"Smith,Kennon Michelle",27,31,3.637,3.085,74.1,14.8,7.4,3.7,0
AMID,263,DESIGN METHODS,"Mitchell,C. Thomas",10,10,1.82,2.704,10,20,30,10,0
AMID,263,DESIGN METHODS,"Mitchell,C. Thomas",16,18,3.344,3.152,56.3,31.3,12.5,0,2
AMID,264,DIGITAL ARCHITECTURAL DRAWING,"Kim,Jee Yea",12,14,2.692,2.721,33.3,33.3,16.7,0,1
AMID,271,INTERM INT ARCH DES STUDIO 1,"Joyner,Louis D.",25,27,3.316,2.989,44,48,4,0,2
AMID,302,ARCHITECTURAL DOCUMENTATION,"Racek,Jonathan",20,25,3.27,3.289,45,40,15,0,2
AMID,365,"ARCH, INT & FURN DSGN STUDIES","Smith,Kennon Michelle",21,21,3.51,3.326,57.1,38.1,4.8,0,0
AMID,373,INTERIOR DESIGN STUDIO 4,"Joyner,Louis D.",21,21,3.6,3.326,76.2,19,4.8,0,0
AMID,469,PROF PRACTICES-INTERIOR DESIGN,"Joyner,Louis D.",16,17,3.256,3.26,50,31.3,18.8,0,0
AMID,475,ADV INT ARCH DES STUDIO: CI,"Kim,Jee Yea",12,12,3.592,3.359,66.7,33.3,0,0,0
