Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Nm,Course Title Nm
2,Brian Stone; Kathryn Parker,4,Aerospace Studies,1A,A+,Found Us Air Force
8,Brian Stone; Kathryn Parker,4,Aerospace Studies,1A,A,Found Us Air Force
8,Brian Stone; Kathryn Parker,3.7,Aerospace Studies,1A,A-,Found Us Air Force
5,Brian Stone; Kathryn Parker,3.3,Aerospace Studies,1A,B+,Found Us Air Force
4,Brian Stone; Kathryn Parker,3,Aerospace Studies,1A,B,Found Us Air Force
1,Brian Stone; Kathryn Parker,2.3,Aerospace Studies,1A,C+,Found Us Air Force
1,Brian Stone; Kathryn Parker,2,Aerospace Studies,1A,C,Found Us Air Force
1,Brian Stone; Kathryn Parker,1.7,Aerospace Studies,1A,C-,Found Us Air Force
2,Brian Stone; Kathryn Parker,4,Aerospace Studies,2A,A+,Evolut Of Air Power
3,Brian Stone; Kathryn Parker,4,Aerospace Studies,2A,A,Evolut Of Air Power
7,Brian Stone; Kathryn Parker,3.7,Aerospace Studies,2A,A-,Evolut Of Air Power
3,Brian Stone; Kathryn Parker,3.3,Aerospace Studies,2A,B+,Evolut Of Air Power
4,Brian Stone; Kathryn Parker,3,Aerospace Studies,2A,B,Evolut Of Air Power
1,Brian Stone; Kathryn Parker,2.7,Aerospace Studies,2A,B-,Evolut Of Air Power
2,Brian Stone; Kathryn Parker,2.3,Aerospace Studies,2A,C+,Evolut Of Air Power
1,Brian Stone; Kathryn Parker,1.7,Aerospace Studies,2A,C-,Evolut Of Air Power
1,Brian Stone; Kathryn Parker,0.7,Aerospace Studies,2A,D-,Evolut Of Air Power
1,Brian Stone; Kathryn Parker,0,Aerospace Studies,2A,F,Evolut Of Air Power
47,Charles Rice,,Aerospace Studies,100,Pass,Leadership Lab
1,Charles Rice,,Aerospace Studies,100,Pass,Leadership Lab
3,Charles Rice,,Aerospace Studies,100,Not Pass,Leadership Lab
2,Charles Rice,4,Aerospace Studies,135A,A+,Air Force Studies
2,Charles Rice,4,Aerospace Studies,135A,A,Air Force Studies
1,Charles Rice,3.7,Aerospace Studies,135A,A-,Air Force Studies
1,Charles Rice,3,Aerospace Studies,135A,B,Air Force Studies
1,Charles Rice,2,Aerospace Studies,135A,C,Air Force Studies
4,Aparajita Nanda,4,African American Studies,R1B,A,Freshmn Composition
5,Aparajita Nanda,3.7,African American Studies,R1B,A-,Freshmn Composition
3,Aparajita Nanda,3.3,African American Studies,R1B,B+,Freshmn Composition
5,Aparajita Nanda,3,African American Studies,R1B,B,Freshmn Composition
5,Aparajita Nanda,2.7,African American Studies,R1B,B-,Freshmn Composition
2,Aparajita Nanda,2.3,African American Studies,R1B,C+,Freshmn Composition
2,Aparajita Nanda,1.7,African American Studies,R1B,C-,Freshmn Composition
1,Aparajita Nanda,1,African American Studies,R1B,D,Freshmn Composition
4,G. Ugo Nwokeji,4,African American Studies,4A,A,Africa:  Hist & Cul
10,G. Ugo Nwokeji,3.7,African American Studies,4A,A-,Africa:  Hist & Cul
7,G. Ugo Nwokeji,3.3,African American Studies,4A,B+,Africa:  Hist & Cul
8,G. Ugo Nwokeji,3,African American Studies,4A,B,Africa:  Hist & Cul
6,G. Ugo Nwokeji,2.7,African American Studies,4A,B-,Africa:  Hist & Cul
4,G. Ugo Nwokeji,2.3,African American Studies,4A,C+,Africa:  Hist & Cul
2,G. Ugo Nwokeji,2,African American Studies,4A,C,Africa:  Hist & Cul
3,G. Ugo Nwokeji,1.7,African American Studies,4A,C-,Africa:  Hist & Cul
1,G. Ugo Nwokeji,1.3,African American Studies,4A,D+,Africa:  Hist & Cul
1,G. Ugo Nwokeji,1,African American Studies,4A,D,Africa:  Hist & Cul
3,G. Ugo Nwokeji,0.7,African American Studies,4A,D-,Africa:  Hist & Cul
2,G. Ugo Nwokeji,0,African American Studies,4A,F,Africa:  Hist & Cul
13,G. Ugo Nwokeji,,African American Studies,4A,Pass,Africa:  Hist & Cul
1,G. Ugo Nwokeji,,African American Studies,4A,Not Pass,Africa:  Hist & Cul
1,Brandi Catanese,4,African American Studies,5A,A+,Afam Life & Cul U S
10,Brandi Catanese,4,African American Studies,5A,A,Afam Life & Cul U S
13,Brandi Catanese,3.7,African American Studies,5A,A-,Afam Life & Cul U S
10,Brandi Catanese,3.3,African American Studies,5A,B+,Afam Life & Cul U S
16,Brandi Catanese,3,African American Studies,5A,B,Afam Life & Cul U S
5,Brandi Catanese,2.7,African American Studies,5A,B-,Afam Life & Cul U S
7,Brandi Catanese,2.3,African American Studies,5A,C+,Afam Life & Cul U S
1,Brandi Catanese,2,African American Studies,5A,C,Afam Life & Cul U S
2,Brandi Catanese,1.7,African American Studies,5A,C-,Afam Life & Cul U S
1,Brandi Catanese,0.7,African American Studies,5A,D-,Afam Life & Cul U S
2,Brandi Catanese,0,African American Studies,5A,F,Afam Life & Cul U S
4,Brandi Catanese,,African American Studies,5A,Pass,Afam Life & Cul U S
1,Brandi Catanese,,African American Studies,5A,Not Pass,Afam Life & Cul U S
1,Alassane Sow,4,African American Studies,7A,A+,Elementary Wolof
2,Alassane Sow,4,African American Studies,7A,A,Elementary Wolof
1,Alassane Sow,,African American Studies,7A,Pass,Elementary Wolof
1,Alassane Sow,4,African American Studies,8A,A,Intermediate Wolof
2,Christine Nyanda-Chacha; Sam Mchombo,4,African American Studies,10A,A,Intermed Swahili
1,Christine Nyanda-Chacha; Sam Mchombo,3.7,African American Studies,10A,A-,Intermed Swahili
1,Christine Nyanda-Chacha; Sam Mchombo,,African American Studies,10A,Pass,Intermed Swahili
1,Christine Nyanda-Chacha; Sam Mchombo,,African American Studies,10A,Not Pass,Intermed Swahili
3,Sam Mchombo,4,African American Studies,11A,A+,Elementary Swahili
8,Sam Mchombo,4,African American Studies,11A,A,Elementary Swahili
6,Sam Mchombo,3.7,African American Studies,11A,A-,Elementary Swahili
2,Sam Mchombo,3.3,African American Studies,11A,B+,Elementary Swahili
3,Sam Mchombo,3,African American Studies,11A,B,Elementary Swahili
1,Sam Mchombo,2.3,African American Studies,11A,C+,Elementary Swahili
1,Sam Mchombo,1.7,African American Studies,11A,C-,Elementary Swahili
6,Sam Mchombo,4,African American Studies,11A,A+,Elementary Swahili
6,Sam Mchombo,4,African American Studies,11A,A,Elementary Swahili
3,Sam Mchombo,3.7,African American Studies,11A,A-,Elementary Swahili
2,Sam Mchombo,3.3,African American Studies,11A,B+,Elementary Swahili
5,Sam Mchombo,3,African American Studies,11A,B,Elementary Swahili
3,Sam Mchombo,2,African American Studies,11A,C,Elementary Swahili
1,Galen Sibanda,4,African American Studies,13A,A,Elementary Zulu
1,Galen Sibanda,3.7,African American Studies,13A,A-,Elementary Zulu
2,Galen Sibanda,,African American Studies,13A,Not Pass,Elementary Zulu
4,Joseph Omwamba,4,African American Studies,15A,A,Advanced Swahili
1,Joseph Omwamba,,African American Studies,15A,Pass,Advanced Swahili
18,Sam Mchombo,,African American Studies,24,Pass,Freshman Seminars
1,Percy Hintzen,4,African American Studies,27AC,A+,Lives/Strug/Maj Cul
6,Percy Hintzen,4,African American Studies,27AC,A,Lives/Strug/Maj Cul
15,Percy Hintzen,3.7,African American Studies,27AC,A-,Lives/Strug/Maj Cul
24,Percy Hintzen,3.3,African American Studies,27AC,B+,Lives/Strug/Maj Cul
19,Percy Hintzen,3,African American Studies,27AC,B,Lives/Strug/Maj Cul
10,Percy Hintzen,2.7,African American Studies,27AC,B-,Lives/Strug/Maj Cul
14,Percy Hintzen,2.3,African American Studies,27AC,C+,Lives/Strug/Maj Cul
1,Percy Hintzen,2,African American Studies,27AC,C,Lives/Strug/Maj Cul
4,Percy Hintzen,1.7,African American Studies,27AC,C-,Lives/Strug/Maj Cul
1,Percy Hintzen,1,African American Studies,27AC,D,Lives/Strug/Maj Cul
1,Percy Hintzen,0,African American Studies,27AC,F,Lives/Strug/Maj Cul
18,Percy Hintzen,,African American Studies,27AC,Pass,Lives/Strug/Maj Cul
6,Percy Hintzen,,African American Studies,27AC,Not Pass,Lives/Strug/Maj Cul
2,Stephen Small,4,African American Studies,28AC,A+,Glob & Min Am Comm
14,Stephen Small,4,African American Studies,28AC,A,Glob & Min Am Comm
7,Stephen Small,3.7,African American Studies,28AC,A-,Glob & Min Am Comm
22,Stephen Small,3.3,African American Studies,28AC,B+,Glob & Min Am Comm
9,Stephen Small,3,African American Studies,28AC,B,Glob & Min Am Comm
5,Stephen Small,2.7,African American Studies,28AC,B-,Glob & Min Am Comm
2,Stephen Small,2,African American Studies,28AC,C,Glob & Min Am Comm
1,Stephen Small,1.7,African American Studies,28AC,C-,Glob & Min Am Comm
13,Stephen Small,,African American Studies,28AC,Pass,Glob & Min Am Comm
3,Sam Mchombo,4,African American Studies,30A,A,Elementary Chichewa
1,Sam Mchombo,4,African American Studies,31A,A,Intermed Chichewa
4,John Patton,4,African American Studies,39E,A,Fresh/Soph Seminar
5,John Patton,3.7,African American Studies,39E,A-,Fresh/Soph Seminar
4,John Patton,3.3,African American Studies,39E,B+,Fresh/Soph Seminar
3,John Patton,3,African American Studies,39E,B,Fresh/Soph Seminar
2,John Patton,2.7,African American Studies,39E,B-,Fresh/Soph Seminar
1,John Patton,2,African American Studies,39E,C,Fresh/Soph Seminar
1,John Patton,0,African American Studies,39E,F,Fresh/Soph Seminar
2,John Patton,,African American Studies,39E,Pass,Fresh/Soph Seminar
3,Cara Stanley,4,African American Studies,39F,A,Fresh/Soph Seminar
3,Cara Stanley,3.7,African American Studies,39F,A-,Fresh/Soph Seminar
1,Cara Stanley,3.3,African American Studies,39F,B+,Fresh/Soph Seminar
4,Cara Stanley,3,African American Studies,39F,B,Fresh/Soph Seminar
2,Cara Stanley,2.7,African American Studies,39F,B-,Fresh/Soph Seminar
1,Cara Stanley,0,African American Studies,39F,F,Fresh/Soph Seminar
3,Cara Stanley,,African American Studies,39F,Pass,Fresh/Soph Seminar
1,Cara Stanley,,African American Studies,39F,Not Pass,Fresh/Soph Seminar
5,Charles Henry,,African American Studies,98,Pass,Directed Group Stdy
17,Anthony Su; Hardy Frye,,African American Studies,98,Pass,Directed Group Stdy
2,Anthony Su; Hardy Frye,,African American Studies,98,Not Pass,Directed Group Stdy
12,Akash Patel; Percy Hintzen,,African American Studies,98,Pass,Directed Group Stdy
14,Charles Henry,,African American Studies,98,Pass,Directed Group Stdy
1,Charles Henry,,African American Studies,98,Not Pass,Directed Group Stdy
20,Charles Henry,,African American Studies,98,Pass,Directed Group Stdy
3,Charles Henry,,African American Studies,98,Not Pass,Directed Group Stdy
15,Robert Allen,,African American Studies,98,Pass,Directed Group Stdy
5,Leigh Raiford,4,African American Studies,100,A,Black Intllctl Thgh
4,Leigh Raiford,3.7,African American Studies,100,A-,Black Intllctl Thgh
5,Leigh Raiford,3.3,African American Studies,100,B+,Black Intllctl Thgh
4,Leigh Raiford,3,African American Studies,100,B,Black Intllctl Thgh
2,Leigh Raiford,2.7,African American Studies,100,B-,Black Intllctl Thgh
2,Leigh Raiford,1.7,African American Studies,100,C-,Black Intllctl Thgh
1,Leigh Raiford,1,African American Studies,100,D,Black Intllctl Thgh
2,Leigh Raiford,,African American Studies,100,Pass,Black Intllctl Thgh
4,Hardy Frye,4,African American Studies,101,A,Research Methods
1,Hardy Frye,3.7,African American Studies,101,A-,Research Methods
3,Hardy Frye,3.3,African American Studies,101,B+,Research Methods
2,Hardy Frye,3,African American Studies,101,B,Research Methods
1,Hardy Frye,2.7,African American Studies,101,B-,Research Methods
1,Hardy Frye,2.3,African American Studies,101,C+,Research Methods
8,Stephen Small,4,African American Studies,111,A,Race Class Gen U S
1,Stephen Small,3.7,African American Studies,111,A-,Race Class Gen U S
14,Stephen Small,3.3,African American Studies,111,B+,Race Class Gen U S
2,Stephen Small,3,African American Studies,111,B,Race Class Gen U S
2,Stephen Small,,African American Studies,111,Pass,Race Class Gen U S
3,Charisse Burden-Stelly; Percy Hintzen,4,African American Studies,112A,A+,Pol/Eco Dev 3rd Wld
27,Charisse Burden-Stelly; Percy Hintzen,4,African American Studies,112A,A,Pol/Eco Dev 3rd Wld
1,Charisse Burden-Stelly; Percy Hintzen,3.7,African American Studies,112A,A-,Pol/Eco Dev 3rd Wld
1,Charisse Burden-Stelly; Percy Hintzen,3.3,African American Studies,112A,B+,Pol/Eco Dev 3rd Wld
7,Charisse Burden-Stelly; Percy Hintzen,3,African American Studies,112A,B,Pol/Eco Dev 3rd Wld
1,Charisse Burden-Stelly; Percy Hintzen,2,African American Studies,112A,C,Pol/Eco Dev 3rd Wld
1,Charisse Burden-Stelly; Percy Hintzen,1,African American Studies,112A,D,Pol/Eco Dev 3rd Wld
3,Charisse Burden-Stelly; Percy Hintzen,0,African American Studies,112A,F,Pol/Eco Dev 3rd Wld
3,Charisse Burden-Stelly; Percy Hintzen,,African American Studies,112A,Pass,Pol/Eco Dev 3rd Wld
1,Ula Taylor,4,African American Studies,116,A+,Slavery And African
4,Ula Taylor,4,African American Studies,116,A,Slavery And African
6,Ula Taylor,3.7,African American Studies,116,A-,Slavery And African
7,Ula Taylor,3.3,African American Studies,116,B+,Slavery And African
9,Ula Taylor,3,African American Studies,116,B,Slavery And African
3,Ula Taylor,2.7,African American Studies,116,B-,Slavery And African
5,Ula Taylor,2.3,African American Studies,116,C+,Slavery And African
3,Ula Taylor,2,African American Studies,116,C,Slavery And African
2,Ula Taylor,1.3,African American Studies,116,D+,Slavery And African
3,Ula Taylor,0,African American Studies,116,F,Slavery And African
6,Ula Taylor,,African American Studies,116,Pass,Slavery And African
5,Ula Taylor,,African American Studies,116,Not Pass,Slavery And African
21,Michael Cohen,4,African American Studies,119,A,Selected Topics
2,Charles Henry,4,African American Studies,121,A+,Blk Pol Life:  U S
3,Charles Henry,4,African American Studies,121,A,Blk Pol Life:  U S
3,Charles Henry,3.7,African American Studies,121,A-,Blk Pol Life:  U S
2,Charles Henry,3.3,African American Studies,121,B+,Blk Pol Life:  U S
1,Charles Henry,3,African American Studies,121,B,Blk Pol Life:  U S
2,Charles Henry,2.7,African American Studies,121,B-,Blk Pol Life:  U S
2,Charles Henry,2.3,African American Studies,121,C+,Blk Pol Life:  U S
2,Charles Henry,2,African American Studies,121,C,Blk Pol Life:  U S
2,Charles Henry,1.7,African American Studies,121,C-,Blk Pol Life:  U S
1,Charles Henry,1,African American Studies,121,D,Blk Pol Life:  U S
2,Charles Henry,0,African American Studies,121,F,Blk Pol Life:  U S
2,Charles Henry,,African American Studies,121,Pass,Blk Pol Life:  U S
2,Charles Henry,,African American Studies,121,Not Pass,Blk Pol Life:  U S
11,Nailah Suad-Bakari,4,African American Studies,C133A,A,Race Urban Sch
1,Nailah Suad-Bakari,3.7,African American Studies,C133A,A-,Race Urban Sch
2,Nailah Suad-Bakari,3,African American Studies,C133A,B,Race Urban Sch
1,Nailah Suad-Bakari,2,African American Studies,C133A,C,Race Urban Sch
1,Nailah Suad-Bakari,,African American Studies,C133A,Pass,Race Urban Sch
13,Michel Laguerre,4,African American Studies,C134,A,Info Tech And Soc
5,Michel Laguerre,3.7,African American Studies,C134,A-,Info Tech And Soc
1,Michel Laguerre,3,African American Studies,C134,B,Info Tech And Soc
3,Aparajita Nanda,4,African American Studies,155,A,Lit Carib: Sig Them
4,Aparajita Nanda,3.7,African American Studies,155,A-,Lit Carib: Sig Them
5,Aparajita Nanda,3.3,African American Studies,155,B+,Lit Carib: Sig Them
1,Aparajita Nanda,3,African American Studies,155,B,Lit Carib: Sig Them
4,Aparajita Nanda,2.7,African American Studies,155,B-,Lit Carib: Sig Them
1,Aparajita Nanda,,African American Studies,155,Pass,Lit Carib: Sig Them
5,Aya De Leon,4,African American Studies,158A,A,Poetry 4 Peop:Teach
1,Aya De Leon,3,African American Studies,158A,B,Poetry 4 Peop:Teach
1,Aya De Leon,2.7,African American Studies,158A,B-,Poetry 4 Peop:Teach
1,Aya De Leon,2,African American Studies,158A,C,Poetry 4 Peop:Teach
1,Aya De Leon,,African American Studies,158A,Pass,Poetry 4 Peop:Teach
4,Aya De Leon,4,African American Studies,159,A,Spec Top Afam Lit
3,Aya De Leon,3.7,African American Studies,159,A-,Spec Top Afam Lit
2,Aya De Leon,3.3,African American Studies,159,B+,Spec Top Afam Lit
3,Aya De Leon,3,African American Studies,159,B,Spec Top Afam Lit
2,Aya De Leon,2.7,African American Studies,159,B-,Spec Top Afam Lit
1,Aya De Leon,,African American Studies,159,Pass,Spec Top Afam Lit
1,Charles Henry,4,African American Studies,H195B,A,Senior Honor Thesis
2,Percy Hintzen,,African American Studies,197,Pass,Field Study
23,Anthony Su; Hardy Frye,,African American Studies,198,Pass,Directed Group Stdy
2,Anthony Su; Hardy Frye,,African American Studies,198,Not Pass,Directed Group Stdy
