Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Nm,Course Title Nm
3,Brian Stone,4,Aerospace Studies,1,A+,Usaf & Nat Sec
4,Brian Stone,4,Aerospace Studies,1,A,Usaf & Nat Sec
1,Brian Stone,3.7,Aerospace Studies,1,A-,Usaf & Nat Sec
1,Brian Stone,3.3,Aerospace Studies,1,B+,Usaf & Nat Sec
4,Amber Henson,4,Aerospace Studies,2B,A+,Evolut Of Air Power
2,Amber Henson,4,Aerospace Studies,2B,A,Evolut Of Air Power
1,Amber Henson,3.7,Aerospace Studies,2B,A-,Evolut Of Air Power
1,Amber Henson,2.7,Aerospace Studies,2B,B-,Evolut Of Air Power
1,Amber Henson,,Aerospace Studies,2B,Pass,Evolut Of Air Power
28,Amber Henson,,Aerospace Studies,100,Pass,Leadership Lab
1,Amber Henson,4,Aerospace Studies,135B,A+,Air Force Studies
2,Amber Henson,4,Aerospace Studies,135B,A,Air Force Studies
2,Aparajita Nanda,4,African American Studies,R1A,A+,Fresh Composition
3,Aparajita Nanda,4,African American Studies,R1A,A,Fresh Composition
7,Aparajita Nanda,3.7,African American Studies,R1A,A-,Fresh Composition
8,Aparajita Nanda,3.3,African American Studies,R1A,B+,Fresh Composition
2,Aparajita Nanda,3,African American Studies,R1A,B,Fresh Composition
1,Aparajita Nanda,2.7,African American Studies,R1A,B-,Fresh Composition
2,Aparajita Nanda,2.3,African American Studies,R1A,C+,Fresh Composition
1,Aparajita Nanda,0,African American Studies,R1A,F,Fresh Composition
2,Aparajita Nanda; Luisa Giulianetti,4,African American Studies,R1B,A+,Freshmn Composition
6,Aparajita Nanda; Luisa Giulianetti,4,African American Studies,R1B,A,Freshmn Composition
7,Aparajita Nanda; Luisa Giulianetti,3.7,African American Studies,R1B,A-,Freshmn Composition
10,Aparajita Nanda; Luisa Giulianetti,3.3,African American Studies,R1B,B+,Freshmn Composition
10,Aparajita Nanda; Luisa Giulianetti,3,African American Studies,R1B,B,Freshmn Composition
1,Aparajita Nanda; Luisa Giulianetti,2.7,African American Studies,R1B,B-,Freshmn Composition
2,Aparajita Nanda; Luisa Giulianetti,2.3,African American Studies,R1B,C+,Freshmn Composition
1,Aparajita Nanda; Luisa Giulianetti,2,African American Studies,R1B,C,Freshmn Composition
1,Aparajita Nanda; Luisa Giulianetti,0,African American Studies,R1B,F,Freshmn Composition
4,Luisa Giulianetti,4,African American Studies,R1B,A,Freshmn Composition
8,Luisa Giulianetti,3.7,African American Studies,R1B,A-,Freshmn Composition
3,Luisa Giulianetti,3.3,African American Studies,R1B,B+,Freshmn Composition
4,Luisa Giulianetti,3,African American Studies,R1B,B,Freshmn Composition
1,Luisa Giulianetti,2.3,African American Studies,R1B,C+,Freshmn Composition
1,Luisa Giulianetti,2,African American Studies,R1B,C,Freshmn Composition
1,Luisa Giulianetti,0,African American Studies,R1B,F,Freshmn Composition
