Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Type Desc,Course Title Nm
3,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,1A,Letter Grade,Found Us Air Force
7,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,1A,Letter Grade,Found Us Air Force
3,Alexander Simpson; Christopher Carroll,3.3,Aerospace Studies,1A,Letter Grade,Found Us Air Force
2,Alexander Simpson; Christopher Carroll,0,Aerospace Studies,1A,Letter Grade,Found Us Air Force
4,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
4,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
6,Alexander Simpson; Christopher Carroll,3.7,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
3,Alexander Simpson; Christopher Carroll,3,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
1,Alexander Simpson; Christopher Carroll,2,Aerospace Studies,2A,Letter Grade,Evolut Of Air Power
16,Alexander Simpson; Christopher Carroll,,Aerospace Studies,100,Non-Letter Grade,Leadership Lab
5,Alexander Simpson; Christopher Carroll,4,Aerospace Studies,135A,Letter Grade,Air Force Studies
1,Alexander Simpson; Christopher Carroll,3.7,Aerospace Studies,135A,Letter Grade,Air Force Studies
1,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
3,Aparajita Nanda,4,African American Studies,R1A,Letter Grade,Fresh Composition
5,Aparajita Nanda,3.7,African American Studies,R1A,Letter Grade,Fresh Composition
3,Aparajita Nanda,3.3,African American Studies,R1A,Letter Grade,Fresh Composition
3,Aparajita Nanda,3,African American Studies,R1A,Letter Grade,Fresh Composition
1,Aparajita Nanda,0,African American Studies,R1A,Letter Grade,Fresh Composition
4,Aparajita Nanda,4,African American Studies,R1B,Letter Grade,Freshmn Composition
3,Aparajita Nanda,3.7,African American Studies,R1B,Letter Grade,Freshmn Composition
7,Aparajita Nanda,3.3,African American Studies,R1B,Letter Grade,Freshmn Composition
1,Aparajita Nanda,3,African American Studies,R1B,Letter Grade,Freshmn Composition
