Enrollment Cnt,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Grade Nm,Course Title Nm
1,Alexander Simpson; Mack-Jan Spencer,4,Aerospace Studies,1A,A+,Found Us Air Force
10,Alexander Simpson; Mack-Jan Spencer,4,Aerospace Studies,1A,A,Found Us Air Force
2,Alexander Simpson; Mack-Jan Spencer,3.7,Aerospace Studies,1A,A-,Found Us Air Force
3,Alexander Simpson; Mack-Jan Spencer,3.3,Aerospace Studies,1A,B+,Found Us Air Force
2,Alexander Simpson; Mack-Jan Spencer,3,Aerospace Studies,1A,B,Found Us Air Force
2,Alexander Simpson; Mack-Jan Spencer,0,Aerospace Studies,1A,F,Found Us Air Force
1,Alexander Simpson; Mack-Jan Spencer,4,Aerospace Studies,2A,A+,Evolut Of Air Power
4,Alexander Simpson; Mack-Jan Spencer,4,Aerospace Studies,2A,A,Evolut Of Air Power
1,Alexander Simpson; Mack-Jan Spencer,3.7,Aerospace Studies,2A,A-,Evolut Of Air Power
6,Alexander Simpson; Mack-Jan Spencer,3.3,Aerospace Studies,2A,B+,Evolut Of Air Power
2,Alexander Simpson; Mack-Jan Spencer,3,Aerospace Studies,2A,B,Evolut Of Air Power
2,Alexander Simpson; Mack-Jan Spencer,2.3,Aerospace Studies,2A,C+,Evolut Of Air Power
1,Alexander Simpson; Mack-Jan Spencer,2,Aerospace Studies,2A,C,Evolut Of Air Power
1,Alexander Simpson; Mack-Jan Spencer,0,Aerospace Studies,2A,F,Evolut Of Air Power
34,Alexander Simpson; Mariko Boone,,Aerospace Studies,100,Pass,Leadership Lab
2,Alexander Simpson; Mariko Boone,4,Aerospace Studies,135A,A+,Air Force Studies
2,Alexander Simpson; Mariko Boone,4,Aerospace Studies,135A,A,Air Force Studies
8,Alexander Simpson; Mariko Boone,3.7,Aerospace Studies,135A,A-,Air Force Studies
1,Alexander Simpson; Mariko Boone,3.3,Aerospace Studies,135A,B+,Air Force Studies
2,Ivy Mills,4,African American Studies,R1A,A,Fresh Composition
1,Ivy Mills,3.7,African American Studies,R1A,A-,Fresh Composition
3,Ivy Mills,3.3,African American Studies,R1A,B+,Fresh Composition
3,Ivy Mills,3,African American Studies,R1A,B,Fresh Composition
3,Ivy Mills,2.7,African American Studies,R1A,B-,Fresh Composition
2,Ivy Mills,1.7,African American Studies,R1A,C-,Fresh Composition
1,Ivy Mills,0,African American Studies,R1A,F,Fresh Composition
1,Aparajita Nanda,4,African American Studies,R1B,A+,Freshmn Composition
3,Aparajita Nanda,4,African American Studies,R1B,A,Freshmn Composition
4,Aparajita Nanda,3.7,African American Studies,R1B,A-,Freshmn Composition
5,Aparajita Nanda,3.3,African American Studies,R1B,B+,Freshmn Composition
3,Aparajita Nanda,3,African American Studies,R1B,B,Freshmn Composition
1,Aparajita Nanda,1.3,African American Studies,R1B,D+,Freshmn Composition
